Agency|SKU|YearMonth|Volume|Max_Temp|Soda_Volume|indy_Volume|Count|avg_pop17|avg_HHI17|Price_HL|Sales2HL|Promotions|Easter_Day|GoodFriday|NewYear|Xmas|LaborDay|Independence_Day|RevolutionDayMem|Regional_Games|FIFA_U17_WCup|Football_Gold_Cup|Beer_Capital|MusicFest|err|Rev
Agency_01|SKU_01|201301|80.676|17.072|718394219.0|492612703.0|1|153733.0|120207.0|1141.5|1033.432731|108.067269|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||83373.21900615601
Agency_01|SKU_01|201302|98.064|19.984|753938444.0|431937346.0|1|153733.0|120207.0|1141.5|1065.417195|76.08280500000001|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||104479.07181047999
Agency_01|SKU_01|201303|133.704|24.6|892192092.0|509281531.0|1|153733.0|120207.0|1179.34582|1101.133633|78.212187|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0||147225.971266632
Agency_01|SKU_01|201304|147.312|27.531999999999996|838099501.0|532390389.0|1|153733.0|120207.0|1226.6875|1138.283357|88.404143|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||167682.797886384
Agency_01|SKU_01|201305|175.608|29.396|864420003.0|551755254.0|1|153733.0|120207.0|1230.3311039999999|1148.969634|81.36147|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||201768.259487472
Agency_01|SKU_01|201306|180.792|33.556|889520921.0|531683569.0|1|153733.0|120207.0|1234.8320640000002|1144.291368|90.540696|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||206878.725003456
Agency_01|SKU_01|201307|149.796|29.372|869768947.0|508376577.0|1|153733.0|120207.0|1234.868827|1157.884598|76.984229|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||173446.481242008
Agency_01|SKU_01|201308|161.136|29.1|757916529.0|532480057.0|1|153733.0|120207.0|1234.8285859999999|1186.746188|48.082398|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||191227.533749568
Agency_01|SKU_01|201309|147.744|26.888|789624076.0|454252482.0|1|153733.0|120207.0|1234.802266|1152.156204|82.646062|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0||170224.166203776
Agency_01|SKU_01|201310|149.364|26.144000000000002|791658684.0|480693900.0|1|153733.0|120207.0|1235.169062|1142.945273|92.223789|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0||170714.877756372
Agency_01|SKU_01|201311|95.36399999999999|19.45769231|806253783.0|434960682.0|1|153733.0|120207.0|1235.1875|1133.6867220000001|101.500778|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0||108112.900556808
Agency_01|SKU_01|201312|104.544|17.52272727|785511080.0|424138427.0|1|153733.0|120207.0|1235.1875|1059.479533|175.707967|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||110762.228297952
Agency_01|SKU_01|201401|100.54799999999999|19.09230769|763723622.0|481364863.0|1|153733.0|120207.0|1235.1875|995.0062437000001|240.1812563|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||100045.8877915476
Agency_01|SKU_01|201402|123.552|23.31923077|734443953.0|425528909.0|1|153733.0|120207.0|1235.1875|1111.858392|123.329108|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||137372.32804838402
Agency_01|SKU_01|201403|125.17200000000001|23.15|828278650.0|557166363.0|1|153733.0|120207.0|1235.1875|1108.242181|126.945319|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0||138720.890280132
Agency_01|SKU_01|201404|70.524|26.56923077|873734739.0|514349463.0|1|153733.0|120207.0|1235.1875|1109.019047|126.168453|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||78212.459270628
Agency_01|SKU_01|201405|21.924|29.43076923|887472626.0|574689995.0|1|153733.0|120207.0|1264.2725|1257.19|7.0825|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||27562.633560000002
Agency_01|SKU_01|201406|66.744|33.39230769|865152191.0|553838801.0|1|153733.0|120207.0|1272.981618|1265.540441|7.441177000000001|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||84467.23119410401
Agency_01|SKU_01|201407|89.1|30.03076923|837253085.0|550644737.0|1|153733.0|120207.0|1275.48136|1271.486842|3.9945180000000002|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||113289.4776222
Agency_01|SKU_01|201408|107.352|29.7375|867388593.0|522726357.0|1|153733.0|120207.0|1285.586058|1239.516347|46.069711|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||133064.558883144
